"iso2c","year","launched","foiled","all","population","all_poisson","launched_poisson","all_nb","launched_nb"
"TL",2009,0,0,0,1074277,0,0,0,0
"TL",2010,0,0,0,1093523,0,0,0,0
"TL",2011,0,0,0,1113151,0,0,0,0
"TL",2012,0,0,0,1132994,1,0,0,0
"TL",2013,0,0,0,1153295,0,0,0,0
"TL",2014,0,0,0,1174331,0,0,0,0
"TL",2015,0,0,0,1196302,0,0,0,0
"TL",2016,0,0,0,1219288,0,0,0,0
"TG",1990,0,0,0,3774312,0,0,0,0
"TG",1991,0,0,0,3862992,0,0,0,0
"TG",1992,0,0,0,3945905,0,0,0,0
"TG",1993,0,0,0,4029053,0,0,0,0
"TG",1994,0,0,0,4120616,0,0,0,0
"TG",1995,0,0,0,4226291,0,0,1,0
"TG",1996,0,0,0,4348805,0,0,0,0
"TG",1997,0,0,0,4485951,0,0,0,0
"TG",1998,0,0,0,4632446,0,0,0,0
"TG",1999,0,0,0,4780448,0,0,0,0
"TG",2000,0,0,0,4924402,0,0,0,0
"TG",2001,0,0,0,5062567,0,0,0,0
"TG",2002,0,0,0,5197031,0,0,0,0
"TG",2003,0,0,0,5330639,0,0,0,0
"TG",2004,0,0,0,5467766,0,0,0,0
"TG",2005,0,0,0,5611640,0,0,0,0
"TG",2006,0,0,0,5762880,0,0,0,0
"TG",2007,0,0,0,5920359,0,0,0,0
"TG",2008,0,0,0,6083420,0,0,0,0
"TG",2009,0,0,0,6250835,0,0,0,0
"TG",2010,0,0,0,6421679,0,0,0,0
"TG",2011,0,0,0,6595943,0,0,0,0
"TG",2012,0,0,0,6773807,0,0,0,0
"TG",2013,0,0,0,6954721,0,0,0,0
"TG",2014,0,0,0,7137997,0,1,0,0
"TG",2015,0,0,0,7323158,0,0,2,0
"TG",2016,0,0,0,7509952,0,0,0,0
"TO",1990,0,0,0,95069,0,0,0,0
"TO",1991,0,0,0,95246,0,0,0,0
"TO",1992,0,0,0,95399,0,1,0,0
"TO",1993,0,0,0,95557,0,0,0,0
"TO",1994,0,0,0,95739,0,0,0,0
"TO",1995,0,0,0,95976,0,0,0,0
"TO",1996,0,0,0,96273,0,0,0,0
"TO",1997,0,0,0,96619,0,0,0,0
"TO",1998,0,0,0,97032,0,0,0,0
"TO",1999,0,0,0,97482,0,0,0,0
"TO",2000,0,0,0,97973,0,0,0,0
"TO",2001,0,0,0,98487,0,0,0,0
"TO",2002,0,0,0,99022,0,0,0,0
"TO",2003,0,0,0,99589,0,0,0,0
"TO",2004,0,0,0,100218,0,0,0,0
"TO",2005,0,0,0,100905,0,0,0,0
"TO",2006,0,0,0,101706,0,0,0,0
"TO",2007,0,0,0,102581,0,0,0,0
"TO",2008,0,0,0,103379,0,0,2,0
"TO",2009,0,0,0,103890,0,0,0,0
"TO",2010,0,0,0,103986,0,0,0,0
"TO",2011,0,0,0,103562,0,0,0,0
"TO",2012,0,0,0,102737,1,0,0,0
"TO",2013,0,0,0,101768,0,0,0,0
"TO",2014,0,0,0,101028,0,0,0,0
"TO",2015,0,0,0,100781,0,0,0,0
"TO",2016,0,0,0,101133,0,0,0,0
"TT",1990,0,0,0,1221116,1,0,0,0
"TT",1991,0,0,0,1229103,0,0,0,0
"TT",1992,0,0,0,1236683,0,0,0,0
"TT",1993,0,0,0,1243616,0,0,0,0
"TT",1994,0,0,0,1249520,0,0,0,0
"TT",1995,0,0,0,1254200,1,0,0,0
"TT",1996,0,0,0,1257549,1,0,0,0
"TT",1997,0,0,0,1259848,0,0,0,0
"TT",1998,0,0,0,1261695,0,0,0,0
"TT",1999,0,0,0,1263933,0,0,0,0
"TT",2000,0,0,0,1267153,0,0,0,0
"TT",2001,0,0,0,1271632,0,0,0,0
"TT",2002,0,0,0,1277213,0,1,0,0
"TT",2003,0,0,0,1283559,0,1,0,0
"TT",2004,0,0,0,1290123,1,0,0,0
"TT",2005,0,0,0,1296502,0,0,0,0
"TT",2006,0,0,0,1302561,0,0,0,0
"TT",2007,0,0,0,1308451,1,0,0,0
"TT",2008,0,0,0,1314443,0,0,0,0
"TT",2009,0,0,0,1320930,0,0,0,0
"TT",2010,0,0,0,1328147,0,0,0,0
"TT",2011,0,0,0,1336178,0,0,0,0
"TT",2012,0,0,0,1344817,0,0,0,0
"TT",2013,0,0,0,1353700,0,0,0,0
"TT",2014,0,0,0,1362342,0,0,0,0
"TT",2015,0,0,0,1370328,0,0,0,0
"TT",2016,0,0,0,1377564,0,0,0,0
"TN",1990,0,0,0,8242496,0,0,0,0
"TN",1991,0,0,0,8427857,0,0,0,0
"TN",1992,0,0,0,8613861,0,0,3,0
"TN",1993,0,0,0,8795932,0,0,0,0
"TN",1994,0,0,0,8967916,0,0,0,0
"TN",1995,0,0,0,9125398,0,0,0,0
"TN",1996,0,0,0,9267340,0,0,0,0
"TN",1997,0,0,0,9395123,0,0,0,0
"TN",1998,0,0,0,9509857,0,0,0,0
"TN",1999,0,0,0,9613588,0,0,0,0
"TN",2000,0,0,0,9708350,0,0,0,0
"TN",2001,0,0,0,9793903,0,0,0,0
"TN",2002,0,0,0,9871251,1,0,0,0
"TN",2003,0,0,0,9945277,0,0,0,0
"TN",2004,0,0,0,10022277,1,0,0,0
"TN",2005,0,0,0,10106771,0,0,0,0
"TN",2006,0,0,0,10201214,0,0,0,0
"TN",2007,0,0,0,10304726,1,0,0,0
"TN",2008,0,0,0,10414433,0,0,0,0
"TN",2009,0,0,0,10525694,0,0,0,0
"TN",2010,0,0,0,10635244,1,0,0,0
"TN",2011,0,0,0,10741880,0,0,0,0
"TN",2012,0,0,0,10847002,0,0,0,0
"TN",2013,0,0,0,10952951,0,0,0,0
"TN",2014,0,0,0,11063201,0,0,0,1
"TN",2015,0,0,0,11179949,0,0,0,0
"TN",2016,0,0,0,11303946,0,0,0,0
"TR",1990,0,0,0,53921760,0,0,0,0
"TR",1991,0,0,0,54840590,0,0,0,0
"TR",1992,1,0,1,55748948,0,1,0,0
